"position","well","row","column","media","strain","plasmid"
41,"A6","A",6,"SD-Trp","SY992","URA3_C1-A"
42,"B6","B",6,"SD-Trp","SY992","URA3_C1-A"
43,"C6","C",6,"SD-Trp","SY992","URA3_D1-A"
44,"D6","D",6,"SD-Trp","SY992","URA3_D1-A"
45,"E6","E",6,"SD-Trp","SY992","URA3_E1-A"
46,"F6","F",6,"SD-Trp","SY992","URA3_E1-A"
47,"G6","G",6,"SD-Trp","SY992","URA3_F1-A"
48,"H6","H",6,"SD-Trp","SY992","URA3_F1-A"
49,"A7","A",7,"SD-Trp","SY992","URA3_G1-A"
50,"B7","B",7,"SD-Trp","SY992","URA3_G1-A"
51,"C7","C",7,"SD-Trp","SY992","URA3_H1-A"
52,"D7","D",7,"SD-Trp","SY992","URA3_H1-A"
53,"E7","E",7,"SD-Trp","SY992","URA3_P2-A1-A"
54,"F7","F",7,"SD-Trp","SY992","URA3_P2-A1-A"
55,"G7","G",7,"SD-Trp","SY992","URA3_P2-B1-A"
56,"H7","H",7,"SD-Trp","SY992","URA3_P2-B1-A"
57,"A8","A",8,"SD-Trp","SY992","URA3_P2-C1-A"
58,"B8","B",8,"SD-Trp","SY992","URA3_P2-C1-A"
59,"C8","C",8,"SD-Trp","SY992","URA3_P2-D1-A"
60,"D8","D",8,"SD-Trp","SY992","URA3_P2-D1-A"
61,"E8","E",8,"SD-Trp","SY992","URA3_F12-C"
62,"F8","F",8,"SD-Trp","SY992","URA3_F12-C"
63,"G8","G",8,"SD-Trp","SY992","URA3_B12-A"
64,"H8","H",8,"SD-Trp","SY992","URA3_B12-A"
65,"A9","A",9,"SD-Trp","SY992","URA3_WT-A"
66,"B9","B",9,"SD-Trp","SY992","URA3_WT-A"
67,"C9","C",9,"SD-Trp","SY992","URA3_05-A"
68,"D9","D",9,"SD-Trp","SY992","URA3_05-A"
69,"E9","E",9,"SD-Trp","SY992","URA3_34-A"
70,"F9","F",9,"SD-Trp","SY992","URA3_34-A"
71,"G9","G",9,"SD-Trp","SY992","URA3_B1-A"
72,"H9","H",9,"SD-Trp","SY992","URA3_B1-A"
73,"A10","A",10,"SD-Trp","SY992","URA3_C1-A"
74,"B10","B",10,"SD-Trp","SY992","URA3_C1-A"
75,"C10","C",10,"SD-Trp","SY992","URA3_D1-A"
76,"D10","D",10,"SD-Trp","SY992","URA3_D1-A"
77,"E10","E",10,"SD-Trp","SY992","URA3_E1-A"
78,"F10","F",10,"SD-Trp","SY992","URA3_E1-A"
79,"G10","G",10,"SD-Trp","SY992","URA3_F1-A"
80,"H10","H",10,"SD-Trp","SY992","URA3_F1-A"
81,"A11","A",11,"SD-Trp","SY992","URA3_G1-A"
82,"B11","B",11,"SD-Trp","SY992","URA3_G1-A"
83,"C11","C",11,"SD-Trp","SY992","URA3_H1-A"
84,"D11","D",11,"SD-Trp","SY992","URA3_H1-A"
85,"E11","E",11,"SD-Trp","SY992","URA3_P2-A1-A"
86,"F11","F",11,"SD-Trp","SY992","URA3_P2-A1-A"
87,"G11","G",11,"SD-Trp","SY992","URA3_P2-B1-A"
88,"H11","H",11,"SD-Trp","SY992","URA3_P2-B1-A"
89,"A12","A",12,"SD-Trp","SY992","URA3_P2-C1-A"
90,"B12","B",12,"SD-Trp","SY992","URA3_P2-C1-A"
91,"C12","C",12,"SD-Trp","SY992","URA3_P2-D1-A"
92,"D12","D",12,"SD-Trp","SY992","URA3_P2-D1-A"
93,"E12","E",12,"SD-Trp","SY992","URA3_F12-C"
94,"F12","F",12,"SD-Trp","SY992","URA3_F12-C"
95,"G12","G",12,"SD-Trp","SY992","URA3_B12-A"
96,"H12","H",12,"SD-Trp","SY992","URA3_B12-A"
