query_sequence,top_match,e_value
t7rnapol_50,gb|WCS66925.1| DNA-directed RNA polymerase [Serratia phage HMGUsm2],1.70727e-43
t7rnapol_51,NA,NA
t7rnapol_52,gb|MDA2621644.1| hypothetical protein [Bacillus cereus],3.61992e-28
t7rnapol_53,ref|YP_009187276.1| N4-like RNA polymerase [Yersinia phage vB_YenP_AP10] >gb|ALK86936.1| RNA polymerase [Yersinia phage vB_YenP_AP10],3.53016e-53
t7rnapol_54,gb|UTQ80063.1| RNA polymerase [Erwinia phage Stepyanka],7.62369e-05
t7rnapol_55,gb|QZB84819.1| RNA polymerase [Escherichia phage T7],6.32179e-57
t7rnapol_56,"gb|WOG34502.1| T7 RNA polymerase, partial [synthetic construct] >gb|WOG34505.1| T7 RNA polymerase, partial [synthetic construct]",1.17345e-47
t7rnapol_57,NA,NA
t7rnapol_58,NA,NA
t7rnapol_59,NA,NA
t7rnapol_60,NA,NA
t7rnapol_61,NA,NA
t7rnapol_62,NA,NA
t7rnapol_63,NA,NA
t7rnapol_64,NA,NA
t7rnapol_65,NA,NA
t7rnapol_66,NA,NA
t7rnapol_67,NA,NA
t7rnapol_68,NA,NA
t7rnapol_69,NA,NA
t7rnapol_70,NA,NA
t7rnapol_71,NA,NA
t7rnapol_72,NA,NA
t7rnapol_73,NA,NA
t7rnapol_74_M1,NA,NA
t7rnapol_75,NA,NA
t7rnapol_76,NA,NA
t7rnapol_77,NA,NA
t7rnapol_78,NA,NA
t7rnapol_79,NA,NA
t7rnapol_80,NA,NA
t7rnapol_81,NA,NA
t7rnapol_82,NA,NA
t7rnapol_83,NA,NA
t7rnapol_84,NA,NA
t7rnapol_85,NA,NA
t7rnapol_86,NA,NA
t7rnapol_87,NA,NA
t7rnapol_88,NA,NA
t7rnapol_89,NA,NA
t7rnapol_90_M1,NA,NA
t7rnapol_91,NA,NA
t7rnapol_92,NA,NA
t7rnapol_93,NA,NA
t7rnapol_94,NA,NA
t7rnapol_95,NA,NA
t7rnapol_96,NA,NA
t7rnapol_97,NA,NA
t7rnapol_98,NA,NA
t7rnapol_99,NA,NA
