query_sequence,top_match,e_value
psd95pdz3_10,"pdb|6QJD|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|D Chain D, Disks large homolog 4 [Homo sapiens]",4.67001e-41
psd95pdz3_11,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",2.42696e-35
psd95pdz3_12,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",2.42696e-35
psd95pdz3_13,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",3.52154e-36
psd95pdz3_14,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",9.45e-36
psd95pdz3_15,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",8.38055e-35
psd95pdz3_16,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",8.38055e-35
psd95pdz3_17,"pdb|6QJD|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|D Chain D, Disks large homolog 4 [Homo sapiens]",1.23102e-38
psd95pdz3_18,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",4.51838e-39
psd95pdz3_19,"pdb|6QJD|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJD|D Chain D, Disks large homolog 4 [Homo sapiens]",7.00023e-34
psd95pdz3_20,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",4.48528e-35
psd95pdz3_21,"pdb|2HE2|A Chain A, Discs large homolog 2 [Homo sapiens] >pdb|2HE2|B Chain B, Discs large homolog 2 [Homo sapiens]",2.27615e-34
psd95pdz3_22,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",3.73909e-26
psd95pdz3_23,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",7.47145e-27
psd95pdz3_24,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",4.87355e-27
psd95pdz3_25,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",6.69385e-23
psd95pdz3_26,gb|KAH9383335.1| hypothetical protein HPB48_024550 [Haemaphysalis longicornis],4.1591e-26
psd95pdz3_27,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",4.74852e-22
psd95pdz3_28,"pdb|6QJI|A Chain A, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|B Chain B, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|C Chain C, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|D Chain D, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|E Chain E, Disks large homolog 4 [Homo sapiens] >pdb|6QJI|F Chain F, Disks large homolog 4 [Homo sapiens] >pdb|6QJJ|A Chain A, Disks large homolog 4 [Homo sapiens]",2.73125e-28
psd95pdz3_29,"gb|KFV53693.1| Disks large 4, partial [Gavia stellata]",1.32029e-29
psd95pdz3_30,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",1.06396e-23
psd95pdz3_31,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",1.43476e-19
psd95pdz3_32,"pdb|8AH4|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|C Chain C, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|D Chain D, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|E Chain E, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|F Chain F, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH5|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH7|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens]",2.56765e-29
psd95pdz3_33,gb|NXB94462.1| DLG4 protein [Vidua chalybeata],1.09645e-29
psd95pdz3_34,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",2.61792e-21
psd95pdz3_35,gb|NXB73144.1| DLG2 protein [Donacobius atricapilla],1.16803e-26
psd95pdz3_36,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",5.97544e-22
psd95pdz3_37,gb|NXB94462.1| DLG4 protein [Vidua chalybeata],3.54302e-27
psd95pdz3_38,gb|MEQ2182244.1| Disks large 4 [Goodea atripinnis],6.61937e-27
psd95pdz3_39,"pdb|8AH4|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|C Chain C, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|D Chain D, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|E Chain E, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH4|F Chain F, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH5|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH6|B Chain B, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens] >pdb|8AH7|A Chain A, cDNA FLJ50577, highly similar to Discs large homolog 4 [Homo sapiens]",5.0109e-25
psd95pdz3_40,"gb|TRZ00889.1| hypothetical protein DNTS_002691, partial [Danionella cerebrum]",8.84053e-21
psd95pdz3_41,gb|NXS13312.1| DLG3 protein [Neodrepanis coruscans] >gb|NXY25428.1| DLG3 protein [Atrichornis clamosus],5.04635e-22
psd95pdz3_42,gb|KAG8137043.1| hypothetical protein E2320_005588 [Naja naja],3.00901e-14
psd95pdz3_43,ref|XP_013187268.1| disks large 1 tumor suppressor protein isoform X4 [Amyelois transitella],2.31957e-16
psd95pdz3_44,ref|XP_030757886.1| disks large 1 tumor suppressor protein isoform X8 [Sitophilus oryzae],2.59112e-16
psd95pdz3_45,"ref|XP_009047620.1| hypothetical protein LOTGIDRAFT_59096, partial [Lottia gigantea] >gb|ESP01730.1| hypothetical protein LOTGIDRAFT_59096, partial [Lottia gigantea]",5.49699e-11
psd95pdz3_46,"gb|KFV53693.1| Disks large 4, partial [Gavia stellata]",2.12167e-13
psd95pdz3_47,ref|XP_044762455.1| disks large 1 tumor suppressor protein isoform X7 [Coccinella septempunctata],2.44147e-08
psd95pdz3_48,gb|NXM01890.1| DLG4 protein [Tyrannus savana] >gb|NXM24701.1| DLG4 protein [Oxyruncus cristatus],3.71713e-15
psd95pdz3_49,ref|XP_022242878.1| disks large homolog 1-like isoform X8 [Limulus polyphemus],3.61763e-12
psd95pdz3_50,ref|XP_065575668.1| disks large 1 tumor suppressor protein-like isoform X9 [Artemia franciscana],7.27675e-12
psd95pdz3_51,"pdb|6QJK|A Chain A, Disks large homolog 4 [Homo sapiens]",7.02233e-07
psd95pdz3_52,"gb|KAL2301983.1| hypothetical protein Nmel_011385, partial [Mimus melanotis]",2.07374e-12
psd95pdz3_53,ref|XP_033835444.1| tyrosine-protein phosphatase non-receptor type 13 [Periophthalmus magnuspinnatus],1.10584e-09
psd95pdz3_54,gb|KAJ8023385.1| Protein lin-7-like B [Holothuria leucospilota],4.50549e-12
psd95pdz3_55,emb|CAH1245870.1| DLG1 [Branchiostoma lanceolatum],0.0139592
psd95pdz3_56,ref|XP_033115095.1| multiple PDZ domain protein-like isoform X6 [Anneissia japonica],7.54635e-07
psd95pdz3_57,"emb|CAF96151.1| unnamed protein product, partial [Tetraodon nigroviridis]",3.54506e-11
psd95pdz3_58,ref|XP_034386756.1| Na(+)/H(+) exchange regulatory cofactor NHE-RF2 isoform X4 [Cyclopterus lumpus],5.03007e-06
psd95pdz3_59,ref|XP_065663661.1| tyrosine-protein phosphatase non-receptor type 13 isoform X3 [Hydra vulgaris],0.0150043
psd95pdz3_60,ref|XP_066993616.2| glutamate receptor-interacting protein 1 isoform X3 [Anabrus simplex],8.22192e-05
psd95pdz3_61,ref|XP_023311090.1| disks large 1 tumor suppressor protein isoform X7 [Anoplophora glabripennis],0.000110196
psd95pdz3_62,emb|CAD5116542.1| DgyrCDS5421 [Dimorphilus gyrociliatus],0.0056914
psd95pdz3_63,emb|CAG5111368.1| Oidioi.mRNA.OKI2018_I69.chr2.g5684.t1.cds [Oikopleura dioica],0.234753
psd95pdz3_64,gb|KAG9259924.1| multiple PDZ domain protein-like [Astyanax mexicanus],0.000337858
psd95pdz3_65,emb|CAH3146052.1| unnamed protein product [Porites evermanni],4.35179e-05
psd95pdz3_66,emb|CAD2166676.1| unnamed protein product [Meloidogyne enterolobii],0.000134098
psd95pdz3_67,"ref|XP_048879408.1| membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3-like isoform X5 [Brienomyrus brachyistius]",2.7087e-12
psd95pdz3_68,ref|XP_055618023.1| disks large 1 tumor suppressor protein isoform X7 [Toxorhynchites rutilus septentrionalis],1.57263e-06
psd95pdz3_69,NA,NA
psd95pdz3_70,NA,NA
psd95pdz3_71,NA,NA
psd95pdz3_72,gb|MBI4827283.1| PAS domain S-box protein [Nitrospinota bacterium],0.072808
psd95pdz3_73,gb|EJM27529.1| hypothetical protein PMI24_03152 [Pseudomonas sp. GM25],3.89574
psd95pdz3_74,NA,NA
psd95pdz3_75,ref|WP_402137624.1| nickel/cobalt transporter [Streptomyces sp. NPDC088727] >gb|MFJ4898322.1| nickel/cobalt transporter [Streptomyces sp. NPDC088727],4.76841
psd95pdz3_76,gb|MCR4410444.1| arabinose isomerase [Candidatus Saccharicenans sp.] >gb|MDH7575952.1| arabinose isomerase [Candidatus Saccharicenans sp.],6.13473
psd95pdz3_77,NA,NA
psd95pdz3_78,gb|MDQ7055620.1| HTH domain-containing protein [Persephonella sp.],0.000112869
psd95pdz3_79,NA,NA
psd95pdz3_80,NA,NA
psd95pdz3_81,NA,NA
psd95pdz3_82,gb|KAH8639486.1| hypothetical protein IG631_07256 [Alternaria alternata],2.97539
psd95pdz3_83,NA,NA
psd95pdz3_84,"gb|MEY2484583.1| proton-dependent oligopeptide transporter, family [Verrucomicrobiota bacterium]",3.85373
psd95pdz3_85,NA,NA
psd95pdz3_86,tpg|HTQ32706.1| hydantoinase/oxoprolinase family protein [Stellaceae bacterium],9.04185
psd95pdz3_87,"gb|KFW89586.1| Cytosolic carboxypeptidase 4, partial [Phalacrocorax carbo]",0.0191278
psd95pdz3_88,NA,NA
psd95pdz3_89,gb|MCI6665562.1| NUMOD4 motif-containing HNH endonuclease [Lachnospiraceae bacterium],0.454363
psd95pdz3_90,gb|MDD3652693.1| universal stress protein [Desulfotomaculaceae bacterium],8.17659
psd95pdz3_91,NA,NA
psd95pdz3_92,NA,NA
psd95pdz3_93,NA,NA
psd95pdz3_94,NA,NA
psd95pdz3_95,NA,NA
psd95pdz3_96,NA,NA
psd95pdz3_97,emb|VDN07119.1| unnamed protein product [Thelazia callipaeda],3.89428
psd95pdz3_98,NA,NA
psd95pdz3_99,NA,NA
