,query_sequence,top_match,e_value,active,flagged
26,t7rnapol_26,ref|WP_260790296.1| DNA-directed RNA polymerase [Pseudomonas aeruginosa] >gb|UXA41723.1| hypothetical protein MMG97_16465 [Pseudomonas aeruginosa],0.0,False,True
27,t7rnapol_27,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",0.0,False,True
28,t7rnapol_28,gb|WPK33069.1| DNA-directed RNA polymerase [Escherichia phage AV103],0.0,False,True
29,t7rnapol_29,gb|AAA32569.1| RNA polymerase [Escherichia phage T7] >gb|ALY06011.1| T7 RNA polymerase [Cloning vector pAKT7] >gb|ALY06013.1| T7 RNA polymerase [Cloning vector pYAT7],0.0,False,True
30,t7rnapol_30,gb|WEU68248.1| DNA-directed RNA polymerase [Escherichia phage vB_Ec_Tarrare],1.87204e-132,False,True
31,t7rnapol_31,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",5.78591e-139,False,True
32,t7rnapol_32,gb|QWY13933.1| T3/T7-like RNA polymerase [Escherichia phage T7] >gb|QWY13983.1| T3/T7-like RNA polymerase [Escherichia phage T7],1.31068e-147,False,True
33,t7rnapol_33,gb|WBF69716.1| DNA-directed RNA polymerase [Shigella phage SFP21B],9.06481e-77,False,True
34,t7rnapol_34,gb|QLF85705.1| DNA-directed RNA polymerase [Serratia phage vB_SmaP-UFV01],4.2595699999999995e-123,False,True
35,t7rnapol_35,gb|AZV02339.2| DNA-directed RNA polymerase [Pectobacterium phage Q19] >gb|WOL25676.1| hypothetical protein [Pectobacterium phage PcaP1EGY],3.91069e-84,False,True
36,t7rnapol_36,gb|QOV06378.1| DNA-directed RNA polymerase [Escherichia phage JB01],4.71113e-141,False,True
37,t7rnapol_37,emb|CAA24333.1| unnamed protein product [Escherichia phage T7],3.1011100000000004e-129,False,True
38,t7rnapol_38,gb|WEU68248.1| DNA-directed RNA polymerase [Escherichia phage vB_Ec_Tarrare],1.1862099999999999e-123,False,True
39,t7rnapol_39,gb|WPJ67457.1| RNA polymerase [Escherichia phage Carena],7.60514e-81,False,True
40,t7rnapol_40,tpg|HCU2121986.1| DNA-dependent RNA polymerase [Klebsiella pneumoniae],5.7661e-90,False,True
41,t7rnapol_41,gb|UJQ71098.1| RNA polymerase [Escherichia phage T7],4.31544e-72,False,True
42,t7rnapol_42,gb|QWY13933.1| T3/T7-like RNA polymerase [Escherichia phage T7] >gb|QWY13983.1| T3/T7-like RNA polymerase [Escherichia phage T7],1.8724999999999998e-136,False,True
43,t7rnapol_43,gb|KAL2513886.1| Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM3 [Forsythia ovata],1.55837e-134,False,False
44,t7rnapol_44,"pdb|1ARO|P Chain P, T7 RNA POLYMERASE [Escherichia phage T7]",6.2965399999999996e-117,False,True
45,t7rnapol_45,gb|AIS22793.1| UmuD-T7 RNA polymerase(1-514) [synthetic vector pCOLA-AraC-pBAD-T7_RNAP(515-884)-UmuD-T7RNAP(1-514)],1.81898e-57,False,True
46,t7rnapol_46,gb|AIS22793.1| UmuD-T7 RNA polymerase(1-514) [synthetic vector pCOLA-AraC-pBAD-T7_RNAP(515-884)-UmuD-T7RNAP(1-514)],9.36545e-56,False,True
47,t7rnapol_47,gb|MDA2621644.1| hypothetical protein [Bacillus cereus],1.56817e-49,False,False
48,t7rnapol_48,gb|AIS22794.1| T7 RNA polymerase (515-884) [synthetic vector pCOLA-AraC-pBAD-T7_RNAP(515-884)-UmuD-T7RNAP(1-514)],1.6731900000000002e-48,False,True
49,t7rnapol_49,gb|QHJ79918.1| MAG: hypothetical protein [Caudoviricetes sp.],9.34552e-52,False,True
50,t7rnapol_50,gb|WCS66925.1| DNA-directed RNA polymerase [Serratia phage HMGUsm2],1.7072699999999998e-43,False,True
51,t7rnapol_51,,,False,False
52,t7rnapol_52,gb|MDA2621644.1| hypothetical protein [Bacillus cereus],3.6199200000000003e-28,False,False
53,t7rnapol_53,ref|YP_009187276.1| N4-like RNA polymerase [Yersinia phage vB_YenP_AP10] >gb|ALK86936.1| RNA polymerase [Yersinia phage vB_YenP_AP10],3.5301600000000004e-53,False,True
54,t7rnapol_54,gb|UTQ80063.1| RNA polymerase [Erwinia phage Stepyanka],7.62369e-05,False,True
55,t7rnapol_55,gb|QZB84819.1| RNA polymerase [Escherichia phage T7],6.32179e-57,False,True
56,t7rnapol_56,"gb|WOG34502.1| T7 RNA polymerase, partial [synthetic construct] >gb|WOG34505.1| T7 RNA polymerase, partial [synthetic construct]",1.17345e-47,False,True
57,t7rnapol_57,,,False,False
58,t7rnapol_58,,,False,False
59,t7rnapol_59,,,False,False
60,t7rnapol_62,,,False,False
61,t7rnapol_63,,,False,False
62,t7rnapol_64,,,False,False
63,t7rnapol_66,,,False,False
64,t7rnapol_67,,,False,False
65,t7rnapol_70,,,False,False
66,t7rnapol_71,,,False,False
67,t7rnapol_72,,,False,False
68,t7rnapol_74,,,False,False
69,t7rnapol_75,,,False,False
70,t7rnapol_76,,,False,False
71,t7rnapol_77,,,False,False
72,t7rnapol_78,,,False,False
73,t7rnapol_79,,,False,False
74,t7rnapol_80,,,False,False
75,t7rnapol_81,,,False,False
76,t7rnapol_82,,,False,False
77,t7rnapol_83,,,False,False
78,t7rnapol_84,,,False,False
79,t7rnapol_85,,,False,False
80,t7rnapol_86,,,False,False
81,t7rnapol_87,,,False,False
82,t7rnapol_88,,,False,False
83,t7rnapol_89,,,False,False
84,t7rnapol_90,,,False,False
85,t7rnapol_91,,,False,False
86,t7rnapol_92,,,False,False
87,t7rnapol_93,,,False,False
88,t7rnapol_94,,,False,False
89,t7rnapol_95,,,False,False
90,t7rnapol_96,,,False,False
91,t7rnapol_97,,,False,False
92,t7rnapol_98,,,False,False
